-011	DRAWING	TITLE	FIND
X	6010007	SCHEMATIC	REF
			
AR	1006776-22	INSULATION, SLEEVING	71
2	1010710	TRANSFORMER	70
2	1010365	TRANSFORMER	69
4	1010323	TRANSFORMER	68
2	1010324	TRANSFORMER	67
4	1008842	TRANSFORMER	66
4	1008832	TRANSFORMER	65
9	1010397-1	TRANSISTOR	64
12	1010367	TRANSISTOR	63
1	1010357-1	TRANSISTOR	62
1	1010342	TRANSISTOR	61
1	1010837-001	DIODE	60
3	1010385	DIODE	59
2	1010372-12	DIODE	58
2	1010259-003	DIODE	57
1	1006777-31	CAPACITOR	56
1	1010279-104	CAPACITOR	55
4	1010410-10	CAPACITOR	54
4	-18	CAPACITOR	53
10	1010279-16	CAPACITOR	52
2	1006755-132	CAPACITOR	51
1	-130	CAPACITOR	50
1	-182	CAPACITOR	49
1	-79	CAPACITOR	48
7	-69	CAPACITOR	47
8	-34	CAPACITOR	46
1	-33	CAPACITOR	45
5	-31	CAPACITOR	44
1	1010377-103	RESISTOR	43
1	-20	RESISTOR	42
1	1010368-128	RESISTOR	41
1	-121	RESISTOR	40
1	-105	RESISTOR	39
1	1010364-501	RESISTOR	38
1	-471	RESISTOR	37
1	-443	RESISTOR	36
2	-411	RESISTOR	35
1	1006750-47	RESISTOR	34
2	-36	RESISTOR	33
1	-38	RESISTOR	32
2	-32	RESISTOR	31
1	-8	RESISTOR	30
4	-1	RESISTOR	29
9	-25	RESISTOR	28
4	1010311-304	RESISTOR	27
4	-291	RESISTOR	26
4	-120	RESISTOR	25
12	1010364-769	RESISTOR	24
4	-707	RESISTOR	23
4	1006750-72	RESISTOR	22
5	-65	RESISTOR	21
6	-56	RESISTOR	20
10	-36	RESISTOR	19
1	2008093-000	TERMINAL, THREADED	18
AR	1006776-21	INSULATION, SLEEVING	17
AR	-20	INSULATION, SLEEVING	16
AR	1006757-1	WIRE, ELECTRICAL	15
AR	1010848-2	WIRE, ELECTRICAL	14
4	1008168-3	SPACER, STUD	13
8	1015135-011	SPACER	12
8	1008161-1	SCREW, CAP SLOTTED HEAD, SPECIAL	11
1	6008052	WIRING BOARD D	10
1	6008050	WIRING BOARD C	9
1	6008043	WIRING BOARD B	8
1	6008045	WIRING BOARD A	7
2	1008540-13	GASKET, CONNECTOR MINAT	6
1	-11	GASKET, CONNECTOR MINAT	5
1	-3	GASKET, CONNECTOR MINAT	4
40	1006782-16	CONTACT, WRAPOST – MALE, MINAT	3
40	1006775	INSULATOR, WRAPOST – MALE, MINAT	2
1	6008037	FRAME	1
			
		PROOFED	
