-21	-11	DRAWING	TITLE	FIND	NOTE
AR	AR	1008985	GREASE, FLUORINATED	14	The original drawing appears to read “1003985”.  In other assemblies, FLUORINATED GREASE is p/n 1008985.  Drawings for neither 1003985 nor 1008985 are available.
1		6007014-021	HEADER ASSEMBLY	13	
1	1	1004260-514	NAMEPLATE	12	
8	8	2008033-1	WASHER, THRUST	11	
6	6	2004148-003	WASHER, FLAT	10	
8	8	1010977-001	SCREW, CAP, HEX SOCKET HEAD	9	
6	6	1008874-017	SCREW, CAP, SOCKET HEAD	8	
1	1	2008389-016	CAP, PROTECTIVE	7	
1	1	6008058	COVER	6	
1	1	2007233-011	DAC PIPA TEMP & 2.5V BIAS SIG COND	5	
1	1	2007231-011	IRIG AND PIPA SIGNAL CONDITIONER	4	
1	1	2007230-011	GIMBAL RESOLVER SIGNAL COND	3	
1	1	6007012-011	RADAR RSVR & 120V PIPA SUP. SIG COND	2	
	1	6007014-011	HEADER ASSEMBLY	1	
					
			PROOFED		
