-021	-011	DRAWING	TITLE	FIND
AR		1008937-007	TAPE, PRESSURE SENSITIVE ALUM. FOIL BACKED	13
AR	AR	1012555-002	LACING TAPE	12
4	4	2010752-004	WASHER, FLAT	11
AR	AR	1008895-003	TAPE, PRESSURE SENSITIVE, TEFLON	10
10	10	2010752-003	WASHER, FLAT	9
4	4	1008874-009	SCREW, CAP, SOCKET HEAD	8
6	6	-002	SCREW, CAP, SOCKET HEAD	7
27	27	1010958-001	PLUG, PROTECTIVE	6
1	1	1010930-001	CONNECTOR, RECEPTACLE, ELECTRICAL	5
3	3	1010498-238	RESISTOR – FIXED	4
1	1	6014548	LEAD SET AA	3
1	1	6007040-011	TERMINAL BOARD ASSY, BUFFER RESISTORS	2
1	1	6007018-011	HEADER SUBASSEMBLY	1
				
			PROOFED	
