-74	-111	-73	-91	-72	-81	-62	-32	-13	-43	-71	-42	-61	-51	-41	-31	-12	-21	-11	0	FIND	DRAWING	TITLE
AR	AR																			86	1006338-003	SEALING COMPOUND SILICONE RUBBER
1	1																			85	6011238	SHIELD, WIRE PROTECTING
1	1	1	1																	84	6011801-041	TELESCOPE, UPPER SECTION
1	1	1	1																	83	6011252	DETENT CALIBRATION CHART
AR	AR	AR	AR																	82	6011251	SHIM
4	4	4	4																	81	AN960PD3L	WASHER, FLAT
2	2	2	2																	80	6011246	CLAMP
2	2	2	2																	79	NAS1352CO4LL8	SCREW, CAP, HEX. SOC. HD, SELF LOCKING
1	1	1	1																	78	6011876	SUNSHADE & RADAR SHIELD ASSY
1	1	1	1	1	1															77	6011248	WASHER, CABLE CLAMP, SPECIAL
	1		1		1															76	6011227-2	RING, SPLIT
1	1	1	1	1	1															75	6011239	GROMMET
2	2	2	2	2	2															74	NAS1190C04P4L	SCREW, SELF-LOCKING, PAN HD
1	1	1	1	1	1															73	6011231	COVER, PROTECTIVE, HEATER
1	1	1	1	1	1															72	6011230	COVER, PROTECTIVE, LAMP ASSY.
	AR		AR		AR															71	1008937-003	TAPE, PRESSURE SENSITIVE, ADHESIVE, ALUM FOIL
	1		1		1															70	6011869	BELLOW ASSY, PRESSURE SEAL FLAME GUARD
	1		1		1															69	6011227-1	RING, SPLIT
4	10	4	10		6															68	NAS1352C02LL3	SCREW, CAP, SOCKET HD., SELF LOCKING
							1													67	6011846-001	TELESCOPE EYPIECE ASSY
3	3	3	3	3	3	3				3										66	1000220-4	CLAMP, CABLE
1	1	1	1	1	1	1	4			1										65	1000220-3	CLAMP, CALBE
AR	AR	AR	AR	AR	AR	AR	AR	AR		AR										64	1008936-003	TAPE, LACING & TYING, BRAIDED
AR	AR	AR	AR	AR	AR			AR		AR										63	1008937-007	TAPE, PRESSURE SENSITIVE
2	2	2	2	2	2	2	2		2	2										62	1010911-042	INSULATION, SLEEVE, ELECT.
2	2	2	2	2	2	2	2		2	2										61	1010711-1	SPLICE, ELECT, PERM LAP CRIMP
1	1	1	1	1	1	1	1		1	1										60	6011865	CABLE ASSY, AOT
1	1	1	1	1	1	1	1		1	1										59	6011843-021	PLATE & LAMP, ASSY OF
									1											58	6011846-012	TELESCOPE EYPIECE ASSY
1	1	1	1	1	1	1				1										57	6011846-031	TELESCOPE EYPIECE ASSY
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	56	1011541	ADHESIVE, EPOXY
AR	AR	AR	AR	AR	AR	AR				AR		AR	AR							55	1012543-002	COATING KIT, LIGHT DIFFUSING
2	2	2	2	2	2	2			2	2	2	2								54	NAS1352C02LL4	SCREW, CAP, HEX. SOC. HD, SELF LOCKING
				1	1	1			1	1	1	1								53	6011165	SHIELD
3	3	3	3	3	3	3	3			3		3	3							52	1012525-006	NUT, SELF LOCKING HEX. THIN
3	3	3	3	3	3	3	3			3		3	3							51	MS15795-807	WASHER, FLAT
3	3	3	3	3	3	3	3			3		3	3							50	NAS1352C08-16	SCREW, CAP, HEX SOC HD
												1	1							49	6011846-021	TELESCOPE EYPIECE ASSY
												1	1							48	6011843-011	PLATE & LAMP ASSY OF
											1			1						47	6011846-011	TELESCOPE EYPIECE ASSY
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12			46	NAS1352C06LL10	SCREW, CAP, HEX SOC HD
1	1	1	1	1	1	1	1		1	1	1	1	1	1	1					45	6011807-021	MIRROR HOUSING & WINDOW ASSY
2	2	2	2	2	2	2	2		2	2	2	2	2	2	2					44	2011196-31	PIN, TAPER, THREADED
				1	1	1	1		1	1	1	1	1	1	1					43	6011801-031	TELESCOPE, UPPER SECTION ASSEMBLY
1	1	1	1	1	1	1	1		1	1	1	1	1	1	1					42	6011168-2	PIN, TAPERED, PLAIN (MOD.)
2	2	2	2	2	2	2	2		2	2	2	2	2	2	2					41	6011168-1	PIN, TAPERED, PLAIN (MOD.)
1	1	1	1	1	1	1	1		1	1	1	1	1	1	1					40	2011196-30	PIN, TAPER, THREADED
								2								2		2		39	1010490-142	INSULATION SLEEVING HEAT SHRINK
AR		AR		AR				AR	AR	AR		AR	AR			AR		AR		38	1012507-002	TAPE, LACING & TYING
								AR								AR		AR		37	MIL-I-15126 TYPE MFT-2.5	INSULATION TAPE, PRESS. SENSITIVE
								2								2		2		36	1008887-001	CABLE, SPECIAL PURPOSE ELEC. THERMOCOUPLE
																	1			35	6011801-021	TELESCOPE, UPPER SECTION ASSEMBLY
AR	AR	AR	AR	AR	AR	AR	AR		AR	AR	AR	AR	AR	AR	AR		AR			34	1012543-003	COATING KIT, LIGHT DIFFUSING
								1								1		1		33	6011801-011	TELESCOPE, UPPER SECTION ASSEMBLY
1	1	1	1	1	1	1	1		1	1	1	1	1	1	1		1			32	6011156	RING, CLAMP, PRESSURE SEAL
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1			31	6011143	SEAL, PRESSURE, STRAIN ISOLATION
AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	AR	30	1012543-001	COATING KIT, LIGHT DIFFUSING
7	7	7	7	7	7	7	7		7	7	7	7	7	7	7		7			29	1010770-1	CONTACT, CRIMP TYPE #22 (PIN)
1	1	1	1	1	1	1	1		1	1	1	1	1	1	1		1			28	1010771-117	CONNECTOR, PLUG, ELECTRICAL (P1)
AR	AR	AR	AR	AR	AR	AR	AR		AR	AR	AR	AR	AR	AR	AR		AR			27	1010838	ADHESIVE, PRESSURE SENSITIVE SILICONE
						1	1				1	1	1	1	1		1			26	6011138	INSULATION, THERMAL
						1	1				1	1	1	1	1		1			25	6011139	INSULATION, THERMAL
											1			1	1		1			24	6011843-000	PLATE AND LAMPS, ASSEMBLY OF
						1	1		1	1	1	1	1	1	1		1			23	1011918-1	WASHER, CABLE CLAMP, SPECIAL
									1		1	4	4	1	1		1			22	1000220-2	CLAMP, CABLE
1	1	1	1	1	1	1	1		1	1	1	1	1	1	1		1			21	NAS1352C04LL6	SCREW, CAP, HEX SOC HD, SELF LOCKING
4	4	4	4	4	4	4	4		4	4	4	4	4	4	4		4			20	1011625-28	SCREW, CAP, HEX SOC HD, SELF LOCKING
4	4	4	4	4	4	4	4		4	4	4	4	4	4	4		4			19	1011625-59	SCREW, CAP, HEX SOC HD, SELF LOCKING
																	1			18	6011807-011	MIRROR HOUSING & WINDOW, ASSY OF
1	1	1	1	1	1	1	1		1	1	1	1	1	1	1		1			17	6011110	SHIELD, REFLECTOR
3	3	3	3	3	3	3	3		4	3	4	3	3	4	4		4			16	1012540-077	SCREW, HEX HD MACHINE, SELF LOCKING
							2		2		2			2	2		2			15	1012540-078	SCREW, HEX HD MACHINE, SELF LOCKING
															1		1			14	6011846-000	TELESCOPE EYPIECE ASSY
				1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13	6011141	DETENT CALIBRATION PLATE
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12	1004260-350	NAMEPLATE
							AR	AR	AR		AR			AR	AR	AR	AR	AR	AR	11	1011777	INDIUM FOIL
							4	4	4		4			4	4	4	4	4	4	10	AN960C8	WASHER, FLAT
								2								2		2	2	9	NAS1352C08LL10	SCREW, CAP, HEX SOC HD, SELF LOCKING
							1	1	1		1			1	1	1	1	1	1	8	6011126	BRACKET, MOUNTING
								4								4		4	4	7	1011625-55	SCREW, CAP, HEX SOC HD, SELF LOCKING
																		12	12	6	1011625-43	SCREW, CAP, HEX SOC HD, SELF LOCKING
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1011768-36	PACKING, PREFORMED
								1								1		1	1	4	6011097	RING, CLAMP, PRESSURE SEAL
																		1	1	3	6011096	SEAL, PRESSURE, STRAIN ISOLATION
								1								1		1	1	2	6011802-000	TELESCOPE EYPIECE ASSY
																		1	1	1	6011801-000	TELESCOPE, UPPER SECTION ASSEMBLY
																						
																						PROOFED
