-012	-031	-021	-011	-000	FIND	DRAWING	TITLE
1	1				20	6011814-031	LENS HSNG & EYEGUARD ASSY
	1	1			19	NAS1351C3LL14	SCREW, CAP, SOC. HEAD, SELF-LOCKING
	1	1			18	6011170	RETAINER, SPRING
	1	1			17	6011171	WASHER, FLAT
	1	1			16	6011169	ADAPTER, HOUSING EYEPIECE (MACH)
		1	1		15	6011814-021	LENS HSNG & EYEGUARD ASSY
1	1	1	1	1	14	MS16624-12	RING, RETAINING
1	1	1	1	1	13	6011151	PIN – PIVOT
1	1	1	1	1	12	6011148	HANDLE
1	1	1	1	1	11	NAS1189CO8T8L	SCREW, FLAT HD., SELF LOCKING
1	1	1	1	1	10	6011150	BLOCK, CAM YOKE
1	1	1	1	1	9	6011149	BLOCK, PIVOT
1			1	1	8	6011145	RETAINER, SPRING
2	3	3	2	2	7	6011152	WASHER, BELLEVILLE
1	1	1	1	1	6	6011144	WASHER, FLAT
AR	AR	AR	AR	AR	5	MS15795-808	WASHER
1			1	1	4	NAS1351C3LL12	SCREW, CAP, SOC. HEAD, SELF-LOCKING
1	1	1	1	1	3	6011123	LEVER, FOCUSING
				1	2	6011814-011	LENS HSNG & EYEGUARD ASSY
1			1	1	1	6011147	ADAPTER, HOUSING, EYEPIECE
							
							PROOFED
