-031	-021	-011	-000	FIND	DRAWING	TITLE	STRIKE
1				33	6011811-031	HOUSING, PRISM, ASSY OF	
1				32	6011804-041	HOUSING, PRISM, ASSY OF	
AR				31	6011445	SPACER	
1				30	6011811-021	HOUSING, PRISM, ASSY OF (MACH)	X
2				29	2011196-10	PIN, TAPERED, THREADED	
1				28	6011804-031	HOUSING, INNER ASSY OF	X
	1			27	-021	HOUSING, INNER ASSY OF	
1	1			26	6011163	SHIELD, PRISM	
1	1			25	6011848-000	TUBE, OUTER ASSY OF	
	1			24	6011811-011	HOUSING, PRISM, ASSY OF (MACH)	
		1		23	6011804-011	HOUSING, INNER ASSY OF	
AR	AR	AR	AR	22	1010878	OIL, LUBRICATING HYDROCARBON	
1	1	1	1	21	MS35233-11	SCREW, MACHINE, PAN HEAD, SLOTTED	
1	1	1	1	20	6011020	PRESSURE PLATE	
1	1	1	1	19	6011021	SPRING	
1	1	1	1	18	6011427	PRISM (TELESCOPE)	
		1	1	17	6011811-000	HOUSING, PRISM, ASSY OF (MACH)	
1	1	1	1	16	6011114	RING, RETAINING, BRG OUTER RACE	
1	1	1	1	15	6011115	RING, RETAINING, BRG INNER RACE	
1	1	1	1	14	1012517-001	BEARING, BALL, ANNULAR (DUPLEX DF)	
7	7	7	7	13	NAS1352CO4LL8	SCREW, CAP, HEX SOC HD, SELF LOCKING	
4	4	4	4	12	MS15795-804	WASHER, FLAT	
1	1	1	1	11	1011606-6	BEARING, BALL, ANNULAR	
12	12	12	12	10	NAS1189CO4T6L	SCREW, 100 DEGREE FLAT HD, SELF LOCKING	
1	1	1	1	9	1011768-33	PACKING, PREFORMED	
2	2	2	2	8	6011083	SCREW, CAP, HEX SOC HD (MODIFIED)	
		1	1	7	6011019	SHIELD, PRISM	
1	1	1	1	6	6011058	SPACER, SHIELD, PRISM	
1	1	1	1	5	6011024	CAP, BEARING, RETAINING	
2	1	1	1	4	6011028	WASHER, WAVE	
			1	3	6011804-000	HOUSING, INNER ASSY OF	
1	1	1	1	2	6011829	MECHANISM, POSITIONING, ASSY OF	
		1	1	1	6011819	TUBE, OUTER ASSY OF	
							
						PROOFED	
