-031	-021	-011	-000	FIND	DRAWING	TITLE
2				16	2011196-11	PIN, TAPER, THREADED
1	1			15	6011847-011	RELAY LENS, ASSY
1	1			14	6011809-011	HOUSING, OBJECTIVE LENS, ASSY OF
1	1	1		13	6011157	TUBE, INNER
6	6	6	6	12	1011625-30	SCREW, CAP, HEX SOC HD., SELF-LOCKING
1	1	1	1	11	6011022	GEAR BEVEL (245T/64P)
1	1	1	1	10	6011063	RING, RETAINING
1	1	1	1	9	6011062	SPACER
1	1	1	1	8	6011833	END BAFFLE, ASSEMBLY OF
				7		
		1	1	6	6011847-000	RELAY LENS, ASSY
1	1	1	1	5	6011008	SPACER
1	1	1	1	4	6011832	BAFFLE ASSY
6	6	6	6	3	NAS1352CO4LL6	SCREW, CAP, HEX SOC HD., SELF-LOCKING
		1	1	2	6011809-000	HOUSING, OBJECTIVE LENS, ASSY OF
			1	1	6011002	TUBE, INNER
						
						PROOFED
