-021	-011	-000	FIND	DRAWING	TITLE
3			20	MS51957-3	SCREW, MACH, PAN HD
1			19	6011443-011	HOUSING, LENS, OBJ. ASSY OF
1			18	6011805-011	HOUSING, LENS, ASSY OF
AR	AR	AR	17	1011541	ADHESIVE, EPOXY
	3	3	16	NAS1189CO2T4L	SCREW, 100 DEGREE FLAT HD. SELF LOCKING
	1	1	15	6011443	HOUSING, LENS, OBJ. ASSY OF
			14		
			13		
			12		
			11		
			10		
1	1	1	9	6011010	RING, RETAINING
1	1	1	8	6011406	LENS, POSITIVE, ASPHERICAL (TELESCOPE OBJ)
1	1	1	7	6011011	SPACER, LENS
1	1	1	6	6011012	RING, RETAINING
1	1	1	5	6011421	LENS, ASSY OF (TELESCOPE OBJECTIVE)
1	1	1	4	6011013	SPACER, LENS
1	1	1	3	6011420	LENS, ASSY OF (TELESCOPE OBJECTIVE)
1	1	1	2	6011014	SPACER, LENS
	1	1	1	6011805	HOUSING, LENS, ASSY OF
					
					PROOFED
