-012	-031	-021	-011	-000	FIND	DRAWING	TITLE
3	3				41	6011222	SCREW
1					40	6011845-001	WORM HSG HEATER ASSY
	1				39	-021	WORM HSG HEATER ASSY
AR	AR				38	6011221	SHIM
4	4				37	1017418-9	SCREW
3	3				36	6011201	CLAMP
3	3				35	NAS1598CO4Y	STAT-O-SEAL
1	1				34	1011768-37	PACKING PRE-FORM
1	1				33	6011863	COVER COUNTER ASSY OF
1	1				32	6011862	PLATE COUNTER MTG ASSY
AR	AR				31	1011541	ADHESIVE EPOXY
AR	AR				30	1012051	SILICONE GREASE
2	2				29	MS35233-1	SCREW, PAN HEAD
1	1				28	6011214	RING RETAINING
1	1				27	6011195	RING SPLIT
1	1				26	6011194	RING ADAPTER
1	1				25	6011193	SCREW
1	1				24	6011192	SPRING RETAINER
1	1				23	6011191	SPRING
1	1				22	6011190	KNOB RETICLE CONTROL
1					21	6011153-012	ADAPTER AND LENS HSG ASSY
	1				20	-031	ADAPTER AND LENS HSG ASSY
		1			19	6011845-011	WORM HSG & HTR ASSY OF
		1			18	6011153-021	ADAPTER AND LENS HSG ASSY
			1		17	-011	ADAPTER AND LENS HSG ASSY
6	6	6	6	6	16	NAS1352CO4LL6	SCREW, CAP, HEX SOC HD, SELF LOCKING
		2	2	2	15	1011625-28	SCREW, CAP, HEX SOC HD, SELF LOCKING
		1	1	1	14	MS16995-10	SCREW CAP HEX SOC HD
		1	1	1	13	1000093-13	SCREW, BUTTON HEAD SOC. SELF LOCKING
		1	1	1	12	6011059	KNOB RETICLE CONTROL
				1	11	6011153-000	ADAPTER AND LENS HSG ASSY
1	1	1	1	1	10	6011056	PLATE, COVER
		1	1	1	9	6011084	COVER, COUNTER
		1	1	1	8	6011122	WINDOW, COUNTER
		3	3	3	7	6011046	CLAMP, COUNTER
1	1	1	1	1	6	1012524	COUNTER, ROTATING, FIXED MTG ANGLE
		1	1	1	5	6011048	PLATE COUNTER MOUNTING
		3	3	3	4	NAS1352CO2LL3	SCREW, CAP, HEX SOC HD, SELF LOCKING
4	4	4	4	4	3	NAS1352CO2LL4	SCREW, CAP, HEX SOC HD, SELF LOCKING
3	3	3	3	3	2	NAS1352CO4LL4	SCREW, CAP, HEX SOC HD, SELF LOCKING
			1	1	1	6011845	WORM HSG & HTR ASSY OF
							
							PROOFED
