-81	-71	-61	-51	-41	-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
AR	AR	AR	AR	AR	AR	AR	AR	1008960-002	TAPE, TEFLON, ¼ INCH WIDE	101	
1								1004260-579	NAMEPLATE	100	
1								6010681	PANEL, LAMP RETAINER	99	
	1							1010999-009	LAMP, ELECTROLUMINESCENT	98	
	1							1010999-002	LAMP, ELECTROLUMINESCENT	97	
AR	AR	AR	AR					1010748	RESIN, EPOXY	96	
AR	AR	AR	AR					1010750	CURING AGENT, POLYAMIDE	95	
1	1	1	1					2021339-002	SPACER (TEFLON)	94	
1	1	1	1					2021338-009	SPACER (ACLAR)	93	
1	1	1	1					2021338-002	SPACER (ACLAR)	92	
		1						1004260-566	NAMEPLATE	91	
1		1	1					MS51923-187	PIN, ROLL	90	
2		2	2					NAS1081C04D4L	SCREW, SET – SELF LOCKING	89	
1		1	1					2021328	CAP, PUSHBUTTON	88	
2		2	2					2021327	CAP, PUSHBUTTON	87	
1	1	1	1					1008940-004	BAND, MARKER	86	
AR	AR	AR	AR					1008937-007	TAPE, ALUMINUM FOIL	85	
AR	AR	AR	AR					1008936-003	TAPE, LACING	84	
1		1	1					1008944-002 or 1008943-002	LAMP, ELECTROLUMINESCENT	83	
1	1	1	1					6010680	CUP, LAMP	82	
	1	1	1					6010679	PANEL, LAMP RETAINER	81	
				1				1004260-562	NAMEPLATE	80	
								1010273-1	TRANSISTOR	79	
				AR	AR			1012507-001	LACING TAPE	78	X
1		1	1	1	1			1008932-1	RESISTOR, VARIABLE	77	
1	1	1	1	1	1	1	1	1008922-001 or 1010273-1	TRANSISTOR	76	
				AR	AR	AR	AR	1012555-001	TAPE, LACING	75	
2		2		2		2		2008013-8	LUG, TERMINAL	74	
1		1		1		1		6014555	COVER HOUSING ASSY	73	
AR	AR	AR	AR	AR	AR	AR	AR	1010661	EPOXY RESIN	72	
AR	AR	AR	AR	AR	AR	AR	AR	1010679	ADHESIVE ACTIVATOR	71	
13		13		13		13		MS24693-C4	SCREW, FLAT HD.	70	
						1		1004260-534	NAMEPLATE	69	
1		1		1		1		6014554	BRACKET MTG, ASSEMBLY	68	
1		1		1		1		6014553	HOUSING ASSEMBLY	67	
1	1	1	1	1	1	1	1	NAS1352C04-6	SCREW, CAP, SOCKET HD.	66	
						AR	AR	1012507-001	TAPE, LACING	65	X
AR	AR	AR	AR	AR	AR	AR	AR	QQ-W-343 TYPE S	WIRE, ELECTRICAL, 24 AWG	64	
4	4	4	4	4	4	4	4	1010770-2	CONTACT, ELECTRICAL	63	
1	1	1	1	1	1	1	1	1006302-017	CONNECTOR, ELECTRICAL	62	
AR	AR	AR	AR	AR	AR	AR	AR	1006879	SILICONE COMPOUND	61	
4	4	4	4	4	4	4	4	1008024-001	WASHER, INSULATOR	60	
2	2	2	2	2	2	2	2	1008615	SPACER, TEFLON	59	
AR	AR	AR	AR	AR	AR	AR	AR	1008953-006	SEALING COMP. RETAINING, GRADE AA	58	
10	10	10	10	10	10	10	10	1010958-001	PLUG, SEALING	57	
12	12	12	12	12	12	12	12	1010770-1	CONTACT, ELECTRICAL	56	
9	9	9	9	9	9	9	9	1010617-2	NUT, SELF LOCKING	55	
				9	9	9	9	6014527	WASHER, SPHERICAL	54	
							9	MS15795-802	WASHER, FLAT	53	X
2	2	2	2	2	2	2	2	NAS1081C04D3L	SET SCREW, FLAT	52	
AR	AR	AR	AR	AR	AR	AR	AR	1010789-001	WIRE, 24 AWG, YEL. 42 FT TOTAL	51	
AR	AR	AR	AR	AR	AR	AR	AR	1010686	CATALYST	50	
AR	AR	AR	AR	AR	AR	AR	AR	1010657	EPOXY RESIN	49	
2	2	2	2	2	2	2	2	MS15795-808	WASHER, FLAT	48	
1	1	1	1	1	1	1	1	MS15795-810	WASHER, FLAT	47	
	2		2		2		2	2008013-3	LUG, TERMINAL	46	
X	X	X	X	X	X	X	X	6014502	SCHEMATIC DIAGRAM	REF	
2	2	2	2	2	2	2	2	1023012-5	ADAPTER, POTTING	44	
