-81	-71	-61	-51	-41	-31	-21	-11	FIND	DRAWING	TITLE	STRIKE
			AR					21	1008937-005	TAPE, ALUMINUM FOIL	
	1							20	6010676	G&N INTERCONNECT HARNESS “A”	
1	1	1						19	6010675	G&N INTERCONNECT HARNESS “B”	
		1						18	6010674	G&N INTERCONNECT HARNESS “A”	
			1					17	6010678	G&N INTERCONNECT HARNESS “B”	
1			1					16	6010677	G&N INTERCONNECT HARNESS “A”	
				1				15	6010673	G&N INTERCONNECT HARNESS “B”	
				1				14	6010672	G&N INTERCONNECT HARNESS “A”	
					1			13	6010670	G&N INTERCONNECT HARNESS “A”	
AR	AR	AR			AR	AR		12	MIL-T-23594	TAPE, TEFLON, TYPE II, 1” WIDE	
					1	1		11	6010660	G&N INTERCONNECT HARNESS “B”	
						1		10	6010659	G&N INTERCONNECT HARNESS “A”	
9	9	9	9	9	9	9	9	9	MS16996-9	SCREW, SOC. HD.	
1	1	1	1	1	1	1	1	8	MS16996-10	SCREW, SOC. HD.	
4	4	4	4	4	4	4	4	7	1010400-106 THRU -113	CLAMP, LOOP, HINGED	
8	8	8	8	8	8	8	8	6	1010400-1 THRU -12	CLAMP, LOOP, HINGED	
1	1	1	1	1	1	1	1	5	1010349-2 THRU -6	CLAMP, LOOP, HINGED	
1	1	1	1	1	1	1	1	4	1010705-3 or 1010705-4	CLAMP	
1	1	1	1	1	1	1	1	3	MS21045C3	NUT, SELF LOCKING	
							1	2	6014507	G&N INTERCONNECT HARNESS “B”	
							1	1	6014506	G&N INTERCONNECT HARNESS “A”	
											
X	X	X	X	X	X	X	X	REF	X	PROOFED	X
