FIND	0	DRAWING	TITLE	STRIKE
1	AR	1010807-23	WIRE	X
2	184'	-4	WIRE	
3	94'	-5	WIRE	
4	8'	-7	WIRE	
5	18'	1010707-2	WIRE	
6	12'	1010807-6	WIRE	
7	56'	-15	WIRE	
8	8'	-16	WIRE	
9	1	1006776-99	INSULATION, SLEEVING	
10	1	-147	INSULATION, SLEEVING	
11	6	1010490-112	INSULATION, SLEEVING, HEAT SHRINK	
12	56	-114	INSULATION, SLEEVING, HEAT SHRINK	
13	16	-118	INSULATION, SLEEVING, HEAT SHRINK	
14	8	-142	INSULATION, SLEEVING, HEAT SHRINK	
15	16	1010763-2	SLEEVE, SOLDER, ELEC, HEAT SHRINK	
16	AR	1010807-5	WIRE	X
				
			PROOFED	
