FIND	TITLE	QTY	-181	-171	-161	-151	-141	-131	-121	-111	-101	-91	-81	-71	-61	-51	-31	-21
75																		
74																		
73																		
72	SUNSHADE AND RADAR SHIELD ASSY	1	6011876	6011876	6011876	6011876	6011876	6011876	6011876	6011876	6011876	6011876		6011876	6011876			
71	AOT HIGH DENSITY FILTER ASSY	1	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856		
70	ALIGNMENT OPTICAL TELESCOPE	1	6011000-111	6011000-111	6011000-111	6011000-111	6011000-111	6011000-111	6011000-111	6011000-111	6011000-111	6011000-111	6011000-041	6011000-111	6011000-111	6011000-074	6011000-021	6011000-013
69																		
68																		
67																		
66																		
65	SCREW, HEX SOCKET HEAD	1	1001489-017	1001489-017	1001489-017	1001489-017	1001489-017	1001489-017	1001489-017	1001489-017	1001489-017	1001489-017		1001489-017	1001489-017			
64	WASHER	1	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016	1897004-016
63	SCREW, BUTTON HEAD, HEX SOCKET	1											1006783-103			1006783-103	1006783-103	1006783-103
62	STRAP, GROUND	1	6899987	6899987	6899987	6899987	6899987	6899987	6899987	6899987	6899987	6899987	6899987	6899987	6899987	6899987	6899987	6899987
61	BOLT	4	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	NAS674V19	
60	BUSHING	2	2021204	2021204	2021204	2021204	2021204	2021204	2021204	2021204	2021204	2021204	2021204	2021204	2021204	2021204	2021204	
59	WASHER	2	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002	6899957-002
58	WASHER	2	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001	6899957-001
57	STUD	2	6899956	6899956	6899956	6899956	6899956	6899956	6899956	6899956	6899956	6899956	6899956	6899956	6899956	6899956	6899956	6899956
56	STUD	2	6899955	6899955	6899955	6899955	6899955	6899955	6899955	6899955	6899955	6899955	6899955	6899955	6899955	6899955	6899955	6899955
55	BOLT	2																NAS674V18
54	BOLT	2																2899992
53	NAV BASE ASSY	1	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899950-021
52																		
51																		
50																		
49																		
48	NUT, SELF LOCKING	1	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3	MS21045-C3
