-181	-171	-161	-151	-141	-131	-121	-111	-101	-091	-081	-071	-061	-051	-041	-031	-021	-011
6004000-051	6004000-051	6004000-051	6004000-051	6004000-051	6004000-051	6004000-051	6004000-051										
6004000-041	6004000-041	6004000-041	6004000-041	6004000-041	6004000-041	6004000-041	6004000-041	6004000-041	6004000-041	6004000-031	6004000-041	6004000-041	6004000-041				
6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856	6011856
2003994-021	2003994-021	2003994-021	2003994-021	2003994-011	2003994-011	2003994-011	2003994-011	2003994-011	2003994-011	2003994-011	2003994-011	2003994-011					
6007013-021	6007013-021	6007013-021	6007013-021	6007013-021	6007013-021	6007013-021	6007013-021	6007013-021	6007013-011	6007013-011	6007013-011						
6007020	6007020	6007020	6007020	6007020	6007020	6007020	6007020	6007020	6007020	6007020	6007020						
																	
												6007021	6007021	6007021	6007021		
																	
								6004000-021	6004000-021	6004000-021	6004000-011	6004000-011	6004000-011	6004000-011			
													2003950-011	2003950-011			
2003993-031 or 2003993-041	2003993-031 or 2003993-041	2003993-031 or 2003993-041	2003993-031 or 2003993-041	2003993-031 or 2003993-041	2003993-031 or 2003993-041	2003993-031 or 2003993-041	2003993-031 or 2003993-041	2003993-031 or 2003993-041	2003993-031 or 2003993-041	2003993-021	2003993-011	2003200-031	2003200-011	2003200-021			
6011000-091	6011000-081	6011000-081	6011000-081	6011000-081	6011000-081	6011000-071	6011000-061	6011000-061	6011000-061	6011000-051	6011000-051	6011000-051	6011000-041	6011000-031	6011000-021	6011000-011	6011000-000
6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-021	6899980-031	6899950-011	6899980-011	6899980-011	6899950-011	6899950-011
												6007010-011	6007010-011	6007010-011	6007010-011		
6014515-051	6014515-051	6014515-051	6014515-051	6014515-051	6014515-051	6014515-051	6014515-051	6014515-051	6014515-051	6014515-051	6014515-021	6014515-021	6014515-021	6014515-011	6014515-011	6014515-011	6014515-011
6014512-081	6014512-081	6014512-081	6014512-081	6014512-081	6014512-081	6014512-081	6014512-061	6014512-061	6014512-041	6014512-041	6014512-021	6014512-021	6014512-011	6014512-011	6014512-011	6014512-011	6014512-011
6007200-071	6007200-071	6007200-071	6007200-071	6007200-071	6007200-071	6007200-071	6007200-071	6007200-071	6007200-051	6007200-051	6007200-051	6007200-051	6007200-041	6007200-021	6007200-021	6007200-031	6007200-011
2007222-221 or 2007222-241	2007222-221 or 2007222-241	2007222-221 or 2007222-241	2007222-221 or 2007222-241	2007222-221 or 2007222-241	2007222-221 or 2007222-241	2007222-221 or 2007222-241	2007222-221 or 2007222-241	2007222-221 or 2007222-241	2007222-131	2007222-131	2007222-131	2007222-081	2007222-081	2007222-061	2007222-061	2007222-041	2007222-041
6007001-121	6007001-121	6007001-121	6007001-121	6007001-121	6007001-121	6007001-121	6007001-121	6007001-101	6007001-071	6007001-081	6007001-071	6007001-061	6007001-061	6007001-021	6007001-021	6007001-011	6007001-011
															6003001-021	6003001-021	6003001-021
