Command	BIT 8	BIT 7	BIT 6	BIT 5	BIT 4	BIT 3	BIT 2	BIT 1	Description	Notes
0	0	0	0	0	0	0	0	0		
1	0	0	0	0	0	0	0	1		
2	0	0	0	0	0	0	1	0		
3	0	0	0	0	0	0	1	1		
4	0	0	0	0	0	1	0	0	ED battery activation - ON	
5	0	0	0	0	0	1	0	1	ED battery activation - OFF	
6	0	0	0	0	0	1	1	0		
7	0	0	0	0	0	1	1	1		
8	0	0	0	0	1	0	0	0	Landing gear deploy - FIRE	
9	0	0	0	0	1	0	0	1	Landing gear deploy - FIRE RESET	
10	0	0	0	0	1	0	1	0		
11	0	0	0	0	1	0	1	1		
12	0	0	0	0	1	1	0	0		
13	0	0	0	0	1	1	0	1		
14	0	0	0	0	1	1	1	0		
15	0	0	0	0	1	1	1	1		
16	0	0	0	1	0	0	0	0		
17	0	0	0	1	0	0	0	1		
18	0	0	0	1	0	0	1	0		
19	0	0	0	1	0	0	1	1		
20	0	0	0	1	0	1	0	0		
21	0	0	0	1	0	1	0	1		
22	0	0	0	1	0	1	1	0	ABORT STAGE - COMMAND	
23	0	0	0	1	0	1	1	1		
24	0	0	0	1	1	0	0	0		
25	0	0	0	1	1	0	0	1		
26	0	0	0	1	1	0	1	0	Radar self test - ON	
27	0	0	0	1	1	0	1	1	Radar self test - OFF	
28	0	0	0	1	1	1	0	0		
29	0	0	0	1	1	1	0	1		
30	0	0	0	1	1	1	1	0		
31	0	0	0	1	1	1	1	1		
32	0	0	1	0	0	0	0	0		
33	0	0	1	0	0	0	0	1		
34	0	0	1	0	0	0	1	0		
35	0	0	1	0	0	0	1	1		
36	0	0	1	0	0	1	0	0		
37	0	0	1	0	0	1	0	1		
38	0	0	1	0	0	1	1	0	ABORT STAGE - ARM	
39	0	0	1	0	0	1	1	1	ABORT STAGE - ARM RESET	Actually said ABORT STAGE - COMMAND RESET (p. 91 of E-2160), but I think that's a misprint.
40	0	0	1	0	1	0	0	0		
41	0	0	1	0	1	0	0	1		
42	0	0	1	0	1	0	1	0		
43	0	0	1	0	1	0	1	1		
44	0	0	1	0	1	1	0	0		
45	0	0	1	0	1	1	0	1		
46	0	0	1	0	1	1	1	0		
47	0	0	1	0	1	1	1	1		
48	0	0	1	1	0	0	0	0		
49	0	0	1	1	0	0	0	1		
50	0	0	1	1	0	0	1	0		
51	0	0	1	1	0	0	1	1		
52	0	0	1	1	0	1	0	0		
53	0	0	1	1	0	1	0	1		
54	0	0	1	1	0	1	1	0		
55	0	0	1	1	0	1	1	1		
56	0	0	1	1	1	0	0	0		
57	0	0	1	1	1	0	0	1		
58	0	0	1	1	1	0	1	0		
59	0	0	1	1	1	0	1	1		
60	0	0	1	1	1	1	0	0	RCS ascent feed valves, sys A - OPEN	
61	0	0	1	1	1	1	0	1	RCS ascent feed valves, sys A - OPEN RESET	
62	0	0	1	1	1	1	1	0	RCS ascent feed valves, sys B - OPEN	
63	0	0	1	1	1	1	1	1	RCS ascent feed valves, sys B - OPEN RESET	
64	0	1	0	0	0	0	0	0		
65	0	1	0	0	0	0	0	1		
66	0	1	0	0	0	0	1	0		
67	0	1	0	0	0	0	1	1		
68	0	1	0	0	0	1	0	0		
69	0	1	0	0	0	1	0	1		
70	0	1	0	0	0	1	1	0		
71	0	1	0	0	0	1	1	1		
72	0	1	0	0	1	0	0	0		
73	0	1	0	0	1	0	0	1		
74	0	1	0	0	1	0	1	0		
75	0	1	0	0	1	0	1	1		
76	0	1	0	0	1	1	0	0	RCS ascent feed valves, Sys A - CLOSE	
77	0	1	0	0	1	1	0	1	RCS ascent feed valves, Sys A - CLOSE RESET	
78	0	1	0	0	1	1	1	0	RCS ascent feed valves, Sys B - CLOSE	
79	0	1	0	0	1	1	1	1	RCS ascent feed valves, Sys B - CLOSE RESET	
80	0	1	0	1	0	0	0	0		
81	0	1	0	1	0	0	0	1		
82	0	1	0	1	0	0	1	0		
83	0	1	0	1	0	0	1	1		
84	0	1	0	1	0	1	0	0		
85	0	1	0	1	0	1	0	1		
86	0	1	0	1	0	1	1	0	Manual throttle - ON (10%)	
87	0	1	0	1	0	1	1	1	Manual throttle - RESET (30%)	
88	0	1	0	1	1	0	0	0		
89	0	1	0	1	1	0	0	1		
90	0	1	0	1	1	0	1	0		
91	0	1	0	1	1	0	1	1		
92	0	1	0	1	1	1	0	0		
93	0	1	0	1	1	1	0	1		
94	0	1	0	1	1	1	1	0	THRUST ISOLATION VALVES, QUADRANT 3, SYSTEM A - CLOSE	
95	0	1	0	1	1	1	1	1	THRUST ISOLATION VALVES, QUADRANT 3, SYSTEM A - CLOSE RESET	E-2160 actually said word 94, though not very legibly, but I think that was a misprint.
96	0	1	1	0	0	0	0	0		
97	0	1	1	0	0	0	0	1		
98	0	1	1	0	0	0	1	0		
99	0	1	1	0	0	0	1	1		
100	0	1	1	0	0	1	0	0		
101	0	1	1	0	0	1	0	1		
102	0	1	1	0	0	1	1	0		
103	0	1	1	0	0	1	1	1		
104	0	1	1	0	1	0	0	0		
105	0	1	1	0	1	0	0	1		
106	0	1	1	0	1	0	1	0		
107	0	1	1	0	1	0	1	1		
108	0	1	1	0	1	1	0	0	THRUST ISOLATION VALVES, QUADRANT 1, SYSTEM B - CLOSE	
109	0	1	1	0	1	1	0	1	THRUST ISOLATION VALVES, QUADRANT 1, SYSTEM B - CLOSE RESET	
110	0	1	1	0	1	1	1	0	THRUST ISOLATION VALVES, QUADRANT 3, SYSTEM B - CLOSE	
111	0	1	1	0	1	1	1	1	THRUST ISOLATION VALVES, QUADRANT 3, SYSTEM B - CLOSE RESET	
112	0	1	1	1	0	0	0	0		
113	0	1	1	1	0	0	0	1		
114	0	1	1	1	0	0	1	0		
115	0	1	1	1	0	0	1	1		
116	0	1	1	1	0	1	0	0		
117	0	1	1	1	0	1	0	1		
118	0	1	1	1	0	1	1	0		
119	0	1	1	1	0	1	1	1		
120	0	1	1	1	1	0	0	0		
121	0	1	1	1	1	0	0	1		
122	0	1	1	1	1	0	1	0		
123	0	1	1	1	1	0	1	1		
124	0	1	1	1	1	1	0	0		
125	0	1	1	1	1	1	0	1		
126	0	1	1	1	1	1	1	0	Ascent feed valve - ARM	
127	0	1	1	1	1	1	1	1		
128	1	0	0	0	0	0	0	0		
129	1	0	0	0	0	0	0	1		
130	1	0	0	0	0	0	1	0		
131	1	0	0	0	0	0	1	1		
132	1	0	0	0	0	1	0	0		
133	1	0	0	0	0	1	0	1		
134	1	0	0	0	0	1	1	0	Engine select - ASC ARM	
135	1	0	0	0	0	1	1	1	Engine select - ASC ARM OFF	
136	1	0	0	0	1	0	0	0		
137	1	0	0	0	1	0	0	1		
138	1	0	0	0	1	0	1	0		
139	1	0	0	0	1	0	1	1		
140	1	0	0	0	1	1	0	0		
141	1	0	0	0	1	1	0	1		
142	1	0	0	0	1	1	1	0		
143	1	0	0	0	1	1	1	1		
144	1	0	0	1	0	0	0	0		
145	1	0	0	1	0	0	0	1		
146	1	0	0	1	0	0	1	0		
147	1	0	0	1	0	0	1	1		
148	1	0	0	1	0	1	0	0		
149	1	0	0	1	0	1	0	1		
150	1	0	0	1	0	1	1	0	Engine select - DESC ARM	
151	1	0	0	1	0	1	1	1	Engine select - DESC ARM OFF	
152	1	0	0	1	1	0	0	0		
153	1	0	0	1	1	0	0	1		
154	1	0	0	1	1	0	1	0		
155	1	0	0	1	1	0	1	1		
156	1	0	0	1	1	1	0	0		
157	1	0	0	1	1	1	0	1		
158	1	0	0	1	1	1	1	0		
159	1	0	0	1	1	1	1	1		
160	1	0	1	0	0	0	0	0		
161	1	0	1	0	0	0	0	1		
162	1	0	1	0	0	0	1	0		
163	1	0	1	0	0	0	1	1		
164	1	0	1	0	0	1	0	0		
165	1	0	1	0	0	1	0	1		
166	1	0	1	0	0	1	1	0		
167	1	0	1	0	0	1	1	1		
168	1	0	1	0	1	0	0	0		
169	1	0	1	0	1	0	0	1		
170	1	0	1	0	1	0	1	0		
171	1	0	1	0	1	0	1	1		
172	1	0	1	0	1	1	0	0	RCS main S/O valves, Sys A - CLOSE	
173	1	0	1	0	1	1	0	1	RCS main S/O valves, Sys A - CLOSE RESET	
174	1	0	1	0	1	1	1	0	RCS main S/O valves, Sys B - CLOSE	
175	1	0	1	0	1	1	1	1	RCS main S/O valves, Sys B - CLOSE RESET	
176	1	0	1	1	0	0	0	0		
177	1	0	1	1	0	0	0	1		
178	1	0	1	1	0	0	1	0		
179	1	0	1	1	0	0	1	1		
180	1	0	1	1	0	1	0	0		
181	1	0	1	1	0	1	0	1		
182	1	0	1	1	0	1	1	0	Landing radar power - ON	
183	1	0	1	1	0	1	1	1	Landing radar power - OFF	
184	1	0	1	1	1	0	0	0		
185	1	0	1	1	1	0	0	1		
186	1	0	1	1	1	0	1	0		
187	1	0	1	1	1	0	1	1		
188	1	0	1	1	1	1	0	0	RCS main S/O valves, Sys A - OPEN	
189	1	0	1	1	1	1	0	1	RCS main S/O valves, Sys A - OPEN RESET	
190	1	0	1	1	1	1	1	0	RCS main S/O valves, Sys B - OPEN	
191	1	0	1	1	1	1	1	1	RCS main S/O valves, Sys B - OPEN RESET	
192	1	1	0	0	0	0	0	0		
193	1	1	0	0	0	0	0	1		
194	1	1	0	0	0	0	1	0		
195	1	1	0	0	0	0	1	1		
196	1	1	0	0	0	1	0	0	DPS PQGS ARM 2 - ENABLE	
