P/N,Type,Value,Tolerance,Rating,Manufacturer,MFG P/N
1003084-011,K Core Assembly,,,,,
1006282-2,Relay,26 V,,,,
1006293,Transformer,1:2,,,,
1006304-002,Relay,,,,,
1006317-001,Transistor,,,,,
1006310,PNP Transistor,,,,,
1006319,Transformer,1:2,,,,
1006320-1,Core,,,,,
1006321,Dual Nor Gate,,,,"Fairchild, Philco",
1006323,NPN Transistor,,,,,
1006324,Variable Coil,9-13 µH,,,,
1006325,Reactor,,,,,
1006327,Inductor,25 µH,,6A,,
1006328,Inductor,80 µH,,7A,,
1006329,Diode,,,,,
1006330-001,Resistor,0.12 Ω,±1%,10W,,
1006363-001,NPN Transistor,,,,,
1006363-002,NPN Transistor,,,,,
1006394,Dual Expander,,,,,
1006700-1,Diode,47pF,±20%,4V,,
1006712-1,Thermistor,500 Ω,±2%,,,
1006712-2,Thermistor,1000 Ω,±2%,,,
1006712-3,Thermistor,5000 Ω,±2%,,,
1006714,Resistor,4k,±1%,1/4W,,
1006715-1,Thermistor,100 kΩ,±1%,,,
1006750-1,Resistor,51 Ω,±2%,1/4W,,
1006750-2,Resistor,56 Ω,±2%,1/4W,,
1006750-3,Resistor,62 Ω,±2%,1/4W,,
1006750-4,Resistor,68 Ω,±2%,1/4W,,
1006750-5,Resistor,75 Ω,±2%,1/4W,,
1006750-6,Resistor,82 Ω,±2%,1/4W,,
1006750-7,Resistor,91 Ω,±2%,1/4W,,
1006750-8,Resistor,100 Ω,±2%,1/4W,,
1006750-9,Resistor,110 Ω,±2%,1/4W,,
1006750-10,Resistor,120 Ω,±2%,1/4W,,
1006750-11,Resistor,130 Ω,±2%,1/4W,,
1006750-12,Resistor,150 Ω,±2%,1/4W,,
1006750-13,Resistor,160 Ω,±2%,1/4W,,
1006750-14,Resistor,180 Ω,±2%,1/4W,,
1006750-15,Resistor,200 Ω,±2%,1/4W,,
1006750-16,Resistor,220 Ω,±2%,1/4W,,
1006750-17,Resistor,240 Ω,±2%,1/4W,,
