Signal      Source(s)                       Sink(s)                                                         
========    ============================    ============================================================    
10XP1       A5-1                            A6-2                                                            
10XP10      A5-2                            A5-2                                                            
10XP6       A5-1                            A5-1                                                            
10XP7       A5-1                            A5-1                                                            
10XP8       A5-1                            A6-2                                                            
10XP9       A6-2                            A6-2                                                            
11XP2       A5-1                            A6-2                                                            
11XP6       A5-2                            A5-2                                                            
12KPPS      A24-1                           A25                                                             
16CNT       A22-1                           
1XP10       A4-2                            A4-2,A6-1                                                       
25KPPS      A24-1                           A25                                                             
2FSFAL      B8                              A13-1                                                           
2PP1        A6-2                            A4-2                                                            
2XP3        A4-2                            A4-2,A6-1                                                       
2XP5        A4-2                            A4-2,A6-2                                                       
2XP7        A5-1                            A5-1,A6-1                                                       
2XP8        A5-2                            A5-2,A6-2                                                       
30SUM       A21-1                           A21-1                                                           
32004K      A21-1                           A21-1                                                           
3200A       A24-1                           A25                                                             
3200B       A24-1                           A25                                                             
3200C       A24-1                           A25                                                             
3200D       A24-1                           A25                                                             
32CNT       A22-1                           
3XP2        A4-2                            A6-1                                                            
3XP6        A5-1                            A5-1,A6-1                                                       
3XP7        A4-2                            A6-1                                                            
4XP11       A4-2                            A6-1                                                            
4XP5        A4-2                            A5-1                                                            
50SUM       A21-1                           A21-1                                                           
5XP11       A4-2                            A5-1,A5-2                                                       
5XP12       A5-1                            A6-1                                                            
5XP13       A5-2                            A5-2                                                            
5XP15       A5-2                            A5-2,A6-1                                                       
5XP19       A5-2                            A5-2                                                            
5XP21       A5-2                            A6-1                                                            
5XP28       A4-2                            A6-1                                                            
5XP4        A4-2                            A3-1,A6-1                                                       
5XP9        A5-2                            A5-2                                                            
6XP10       A6-2                            A6-2                                                            
6XP2        A5-2                            A5-2                                                            
6XP5        A4-2                            A4-2,A6-1                                                       
6XP7        A5-2                            A5-2                                                            
6XP8        A5-2                            A5-2,A6-1                                                       
7XP14       A6-2                            A4-2                                                            
7XP19       A4-2                            A4-2,A6-1                                                       
7XP4        A5-1                            A6-2                                                            
7XP7        A6-2                            A6-2                                                            
7XP9        A5-1                            A5-1,A6-2                                                       
800RST      A24-1                           A25                                                             
800SET      A24-1                           A25                                                             
8PP4        A4-2,A6-2                       A6-2                                                            
8XP10       A6-2                            A6-2                                                            
8XP12       A5-1                            
8XP15       A5-1                            A5-1                                                            
8XP3        A5-1                            A5-1                                                            
8XP4        A6-2                            A6-2                                                            
8XP5        A4-2                            A4-2,A12-1,A12-2                                                
8XP6        A4-2                            A6-2                                                            
9XP1        A4-2                            A4-2,A6-2                                                       
9XP5        A5-1                            A5-1,A6-1                                                       
A01/        A8-1                            A8-1                                                            
A02/        A8-1                            A8-1                                                            
A03/        A8-2                            A8-2                                                            
A04/        A8-2                            A8-2                                                            
A05/        A9-1                            A9-1                                                            
A06/        A9-1                            A9-1                                                            
A07/        A9-2                            A9-2                                                            
A08/        A9-2                            A9-2                                                            
A09/        A10-1                           A10-1                                                           
A10/        A10-1                           A10-1                                                           
A11/        A10-2                           A10-2                                                           
A12/        A10-2                           A10-2                                                           
A13/        A11-1                           A11-1                                                           
A14/        A11-1                           A11-1                                                           
A15/        A11-2                           A11-2,A24-1                                                     
A16/        A11-2                           A11-2,A24-1                                                     
A2X/        A5-1,A5-2,A6-1                  A7-2                                                            
A2XG/       A7-2                            A8-1,A8-2,A9-1,A9-2,A10-1,A10-2,A11-1,A11-2                     
AD0         A3-2                            A6-2                                                            
ADS0        A3-2                            A3-2,A5-2,A6-2                                                  
ADVCTR      A22-1                           A22-1                                                           
AGCWAR      A13-1                           A17-1                                                           
ALGA        A13-1                           A2-2                                                            
ALRT0       A19-1                           A27                                                             
ALRT1       A19-1                           A27                                                             
ALT0        A19-1                           A27                                                             
ALT1        A19-1                           A27                                                             
ALTEST      A23-2                           A13-1,A18-1                                                     
ALTM        A19-1                           A13-1,A21-3                                                     
ALTSNC      A19-1                           A25                                                             
AUG0        A3-2                            A3-2                                                            
AUG0/       A3-2                            A6-2                                                            
B15X        A4-2                            A4-2,A6-1                                                       
BBK1        A15-1                           A15-2                                                           
BBK2        A15-1                           A15-2                                                           
BBK3        A15-1                           A15-2                                                           
BK16        A15-1                           A10-2                                                           
BKTF/       A21-2                           A20-1,A20-2,A21-3                                               
BLKUPL      A19-2                           A19-1                                                           
BLKUPL/     A28                             A19-2                                                           
BMAGXM      A19-2                           A21-3,A24-2                                                     
BMAGXP      A19-2                           A21-3,A24-2                                                     
BMAGYM      A19-2                           A21-3,A24-2                                                     
BMAGYP      A19-2                           A21-3,A24-2                                                     
BMAGZM      A19-2                           A13-1,A21-3                                                     
BMAGZP      A19-2                           A21-3,A24-2                                                     
BMF0        A3-2                            A3-2                                                            
BMF0/       A3-2                            A3-2                                                            
BMGXM       A27                             A19-2                                                           
BMGXP       A27                             A19-2                                                           
BMGYM       A27                             A19-2                                                           
BMGYP       A27                             A19-2                                                           
BMGZM       A27                             A19-2                                                           
BMGZP       A27                             A19-2                                                           
BOTHX       A23-1                           A23-1                                                           
BOTHY       A23-1                           A23-1                                                           
BOTHZ       A24-2                           A23-1                                                           
BR1         A4-1                            A4-2,A5-2,A6-1,A6-2,A19-1                                       
